timestamp,heart_rate_bpm,steps,sleep_stage,calories_burned
2025-09-22 01:31:42,83,40,REM,4.18
2025-09-22 01:41:42,70,12,Light,1.56
2025-09-22 01:51:42,65,15,Deep,4.94
2025-09-22 02:01:42,96,28,Deep,4.86
2025-09-22 02:11:42,77,48,Awake,0.88
2025-09-22 02:21:42,80,0,REM,1.39
2025-09-22 02:31:42,108,5,Light,2.37
2025-09-22 02:41:42,68,32,Light,0.6
2025-09-22 02:51:42,82,33,Awake,2.27
2025-09-22 03:01:42,97,3,Awake,3.54
2025-09-22 03:11:42,116,23,Light,1.3
2025-09-22 03:21:42,76,4,REM,4.63
2025-09-22 03:31:42,60,43,Deep,3.88
2025-09-22 03:41:42,71,9,Deep,4.64
2025-09-22 03:51:42,78,40,Light,2.09
2025-09-22 04:01:42,98,39,REM,2.13
2025-09-22 04:11:42,98,10,REM,1.35
2025-09-22 04:21:42,88,44,Awake,2.66
2025-09-22 04:31:42,119,30,Awake,1.24
2025-09-22 04:41:42,75,19,Deep,0.53
2025-09-22 04:51:42,90,35,Light,4.08
2025-09-22 05:01:42,86,16,Awake,0.65
2025-09-22 05:11:42,84,27,Awake,3.52
2025-09-22 05:21:42,82,32,REM,2.6
2025-09-22 05:31:42,94,46,Light,3.74
2025-09-22 05:41:42,62,32,Light,0.68
2025-09-22 05:51:42,101,14,Awake,2.36
2025-09-22 06:01:42,66,33,REM,4.11
2025-09-22 06:11:42,83,12,Light,0.61
2025-09-22 06:21:42,84,11,Awake,2.54
2025-09-22 06:31:42,75,24,Awake,1.93
2025-09-22 06:41:42,111,20,REM,3.56
2025-09-22 06:51:42,72,10,Light,4.7
2025-09-22 07:01:42,107,29,Light,3.74
2025-09-22 07:11:42,80,17,REM,2.69
2025-09-22 07:21:42,68,23,Light,4.95
2025-09-22 07:31:42,83,31,Awake,3.55
2025-09-22 07:41:42,76,47,Deep,1.62
2025-09-22 07:51:42,105,1,Light,3.16
2025-09-22 08:01:42,115,0,REM,4.91
2025-09-22 08:11:42,100,48,Awake,4.04
2025-09-22 08:21:42,115,10,REM,3.71
2025-09-22 08:31:42,106,45,Awake,1.36
2025-09-22 08:41:42,90,45,REM,4.32
2025-09-22 08:51:42,111,47,Deep,4.14
2025-09-22 09:01:42,107,48,REM,4.92
2025-09-22 09:11:42,63,19,REM,3.94
2025-09-22 09:21:42,61,13,Deep,0.69
2025-09-22 09:31:42,111,42,Awake,3.14
2025-09-22 09:41:42,92,36,Light,2.69
2025-09-22 09:51:42,113,41,Deep,1.17
2025-09-22 10:01:42,111,43,Deep,0.67
2025-09-22 10:11:42,63,21,Light,3.68
2025-09-22 10:21:42,90,47,Deep,0.52
2025-09-22 10:31:42,101,8,REM,0.69
2025-09-22 10:41:42,69,23,Deep,2.22
2025-09-22 10:51:42,74,30,Deep,3.35
2025-09-22 11:01:42,96,8,Awake,3.77
2025-09-22 11:11:42,101,47,Awake,3.27
2025-09-22 11:21:42,90,12,Light,1.32
2025-09-22 11:31:42,90,37,Light,2.74
2025-09-22 11:41:42,107,14,REM,2.69
2025-09-22 11:51:42,105,42,REM,1.21
2025-09-22 12:01:42,116,22,REM,3.5
2025-09-22 12:11:42,83,17,REM,0.58
2025-09-22 12:21:42,74,15,Light,3.86
2025-09-22 12:31:42,82,1,Light,4.87
2025-09-22 12:41:42,93,21,Awake,2.76
2025-09-22 12:51:42,87,21,Awake,2.47
2025-09-22 13:01:42,79,7,REM,1.62
2025-09-22 13:11:42,98,30,Deep,1.69
2025-09-22 13:21:42,81,23,REM,1.33
