date,heart_rate,steps,sleep_hours,is_true_anomaly,flag_threshold_hr,flag_threshold_steps,flag_threshold_sleep,flag_prophet_hr,flag_prophet_steps,flag_prophet_sleep,flag_cluster,cluster_label,anomaly_reasons,is_anomaly
2025-07-26,66.6,7501.0,8.36,False,False,False,False,False,False,False,False,0,,False
2025-07-27,66.3,96.0,6.64,True,False,True,False,False,True,False,False,0,thr_steps;pr_steps,True
2025-07-28,67.6,6354.0,8.19,False,False,False,False,False,False,False,False,0,,False
2025-07-29,71.3,7701.0,7.48,False,False,False,False,False,False,False,False,0,,False
2025-07-30,66.6,7239.0,6.87,False,False,False,False,False,False,False,False,0,,False
2025-07-31,66.1,8090.0,7.71,False,False,False,False,False,False,False,False,0,,False
2025-08-01,73.8,7995.0,7.52,False,False,False,False,False,False,False,False,0,,False
2025-08-02,71.7,7653.0,7.01,False,False,False,False,False,False,False,False,0,,False
2025-08-03,68.1,7125.0,7.37,False,False,False,False,False,False,False,False,0,,False
2025-08-04,71.2,6678.0,13.97,True,False,False,True,False,False,True,True,-1,thr_sleep;pr_sleep;cluster_multi,True
2025-08-05,67.1,7616.0,7.31,False,False,False,False,False,False,False,False,0,,False
2025-08-06,68.2,8736.0,7.59,False,False,False,False,False,False,False,False,0,,False
2025-08-07,70.3,8295.0,8.1,False,False,False,False,False,False,False,False,0,,False
2025-08-08,63.3,7195.0,6.35,False,False,False,False,False,False,False,False,0,,False
2025-08-09,64.3,8391.0,8.32,False,False,False,False,False,False,True,False,0,pr_sleep,True
2025-08-10,68.0,8616.0,5.82,False,False,False,False,False,False,True,False,0,pr_sleep,True
2025-08-11,67.7,7649.0,6.85,False,False,False,False,False,False,False,False,0,,False
2025-08-12,69.5,8521.0,7.24,False,False,False,False,False,False,False,False,0,,False
2025-08-13,65.4,8480.0,7.0,False,False,False,False,False,False,False,False,0,,False
2025-08-14,62.9,7546.0,6.41,False,False,False,False,False,False,False,False,0,,False
2025-08-15,69.0,8767.0,6.62,False,False,False,False,False,False,False,False,0,,False
2025-08-16,65.2,8943.0,6.4,False,False,False,False,False,False,False,False,0,,False
2025-08-17,65.4,9366.0,6.3,False,False,False,False,False,False,False,False,0,,False
2025-08-18,62.7,9341.0,7.13,False,False,False,False,False,False,False,False,0,,False
2025-08-19,62.0,7386.0,6.8,False,False,False,False,False,False,False,False,0,,False
2025-08-20,63.7,7722.0,6.14,False,False,False,False,False,False,False,False,0,,False
2025-08-21,59.0,8860.0,7.08,False,False,False,False,False,False,False,False,0,,False
2025-08-22,61.9,8827.0,6.7,False,False,False,False,False,False,False,False,0,,False
2025-08-23,60.7,8790.0,7.0,False,False,False,False,False,False,False,False,0,,False
2025-08-24,60.8,11415.0,6.88,False,False,False,False,False,True,False,False,0,pr_steps,True
2025-08-25,59.5,8738.0,6.0,False,False,False,False,False,False,True,False,0,pr_sleep,True
2025-08-26,64.9,9131.0,6.17,False,False,False,False,False,False,False,False,0,,False
2025-08-27,61.5,25352.86416198095,6.96,True,False,False,False,False,True,False,True,-1,pr_steps;cluster_multi,True
2025-08-28,55.4,8609.0,6.9,False,False,False,False,False,False,False,False,0,,False
2025-08-29,63.1,7761.0,6.54,False,False,False,False,False,False,False,False,0,,False
2025-08-30,104.96506876399971,8539.0,6.65,True,False,False,False,True,False,False,True,-1,pr_hr;cluster_multi,True
2025-08-31,60.0,7229.0,7.37,False,False,False,False,False,False,False,False,0,,False
2025-09-01,54.2,7568.0,6.29,False,False,False,False,False,False,True,False,0,pr_sleep,True
2025-09-02,57.1,7276.0,7.01,False,False,False,False,False,False,False,False,0,,False
